iter	Passed	Remaining
0	0	976
1	1	838
2	2	757
3	2	712
4	3	692
5	4	676
6	4	659
7	5	649
8	6	666
9	6	660
10	7	665
11	7	657
12	8	651
13	9	646
14	9	642
15	10	639
16	11	636
17	11	636
18	12	634
19	12	631
20	13	630
21	14	628
22	14	626
23	15	627
24	16	627
25	16	633
26	17	632
27	18	631
28	18	631
29	19	632
30	20	634
31	21	637
32	21	638
33	22	639
34	23	639
35	23	639
36	24	639
37	25	638
38	25	637
39	26	637
40	27	637
41	27	637
42	28	637
43	29	637
44	29	636
45	30	635
46	31	635
47	31	634
48	32	634
49	33	634
50	34	634
51	34	635
52	35	636
53	36	636
54	37	636
55	37	636
56	38	637
57	39	637
58	39	637
59	40	636
60	41	635
61	41	635
62	42	634
63	43	633
64	44	632
65	44	631
66	45	630
67	45	629
68	46	628
69	47	627
70	47	626
71	48	628
72	49	629
73	50	628
74	50	627
75	51	626
76	52	625
77	52	624
78	53	623
79	53	620
80	54	619
81	55	618
82	55	617
83	56	616
84	57	615
85	57	614
86	58	613
87	59	612
88	59	611
89	60	610
90	61	609
91	61	608
92	62	607
93	63	607
94	63	606
95	64	606
96	65	606
97	65	605
98	66	604
99	67	603
100	67	602
101	68	601
102	68	600
103	69	599
104	70	598
105	70	597
106	71	596
107	72	595
108	72	594
109	73	594
110	74	593
111	74	592
112	75	591
113	75	590
114	76	590
115	77	589
116	77	588
117	78	588
118	79	587
119	80	586
120	80	586
121	81	585
122	82	585
123	82	585
124	83	585
125	84	585
126	85	584
127	85	583
128	86	583
129	87	583
130	87	582
131	88	581
132	89	580
133	89	579
134	90	579
135	90	577
136	91	577
137	92	576
138	92	575
139	93	574
140	94	573
141	94	572
142	95	571
143	96	571
144	96	570
145	97	569
146	98	568
147	98	567
148	99	566
149	99	566
150	100	565
151	101	564
152	101	563
153	102	562
154	103	562
155	103	561
156	104	561
157	105	560
158	105	559
159	106	558
160	106	557
161	107	556
162	108	555
163	108	555
164	109	554
165	110	554
166	110	553
167	111	553
168	112	552
169	113	551
170	113	551
171	114	550
172	115	549
173	115	549
174	116	548
175	116	547
176	117	546
177	118	546
178	119	546
179	119	545
180	120	544
181	121	544
182	121	543
183	122	542
184	122	541
185	123	540
186	124	540
187	124	539
188	125	538
189	126	538
190	126	537
191	127	536
192	128	535
193	128	534
194	129	534
195	130	533
196	130	532
197	131	532
198	132	531
199	132	530
200	133	530
201	134	529
202	134	528
203	135	528
204	136	527
205	136	526
206	137	525
207	137	525
208	138	524
209	139	523
210	139	522
211	140	522
212	141	521
213	141	520
214	142	519
215	142	519
216	143	518
217	144	517
218	144	516
219	145	515
220	146	515
221	147	515
222	147	514
223	148	513
224	148	513
225	149	512
226	150	511
227	151	511
228	151	510
229	152	510
230	153	509
231	153	508
232	153	506
233	154	506
234	155	505
235	155	504
236	156	504
237	157	503
238	157	502
239	158	502
240	159	501
241	159	500
242	160	500
243	161	499
244	161	498
245	162	498
246	163	497
247	163	496
248	164	495
249	165	495
250	165	494
251	166	493
252	166	492
253	167	492
254	168	491
255	168	490
256	169	490
257	170	489
258	170	488
259	171	487
260	172	487
261	172	486
262	173	485
263	173	484
264	174	484
265	175	483
266	175	482
267	176	481
268	177	481
269	177	480
270	178	480
271	179	479
272	179	478
273	180	477
274	180	476
275	181	475
276	182	475
277	182	474
278	183	473
279	184	473
280	184	472
281	185	471
282	185	470
283	186	470
284	187	469
285	187	469
286	188	468
287	189	467
288	189	467
289	190	466
290	191	465
291	191	464
292	192	463
293	192	463
294	193	462
295	194	461
296	194	461
297	195	460
298	196	459
299	196	458
300	197	458
301	197	457
302	198	456
303	199	456
304	199	455
305	200	454
306	201	454
307	201	453
308	202	452
309	203	451
310	203	451
311	204	450
312	204	449
313	205	449
314	206	448
315	206	447
316	207	447
317	208	446
318	208	445
319	209	444
320	210	444
321	210	443
322	211	442
323	211	442
324	212	441
325	213	440
326	213	440
327	214	439
328	215	438
329	215	437
330	216	436
331	216	436
332	217	435
333	218	434
334	218	434
335	219	433
336	219	432
337	220	431
338	221	431
339	221	430
340	222	429
341	223	429
342	223	428
343	224	427
344	224	427
345	225	426
346	226	425
347	226	425
348	227	424
349	228	423
350	228	423
351	229	422
352	230	421
353	230	421
354	231	420
355	232	419
356	232	419
357	233	418
358	234	417
359	234	417
360	235	416
361	235	415
362	236	415
363	237	414
364	237	413
365	238	413
366	239	412
367	239	411
368	240	410
369	240	410
370	241	409
371	242	409
372	242	408
373	243	407
374	244	407
375	244	406
376	245	405
377	246	404
378	246	404
379	247	403
380	247	402
381	248	401
382	249	401
383	249	400
384	250	399
385	250	399
386	251	398
387	252	397
388	252	397
389	253	396
390	254	395
391	254	395
392	255	394
393	255	393
394	256	393
395	257	392
396	258	391
397	258	391
398	259	390
399	259	389
400	260	388
401	260	388
402	261	387
403	262	386
404	262	386
405	263	385
406	263	384
407	264	383
408	265	383
409	265	382
410	266	381
411	267	381
412	267	380
413	268	379
414	268	379
415	269	378
416	270	377
417	270	377
418	271	376
419	272	375
420	272	375
421	273	374
422	273	373
423	274	372
424	274	372
425	275	371
426	276	370
427	276	370
428	277	369
429	278	368
430	278	367
431	279	367
432	279	366
433	280	365
434	281	365
435	281	364
436	282	363
437	282	363
438	283	362
439	284	361
440	285	361
441	285	360
442	286	359
443	286	359
444	287	358
445	288	357
446	288	357
447	289	356
448	289	355
449	290	355
450	291	354
451	291	353
452	292	353
453	293	352
454	293	351
455	294	351
456	294	350
457	295	349
458	296	349
459	296	348
460	297	347
461	298	347
462	298	346
463	299	345
464	300	345
465	300	344
466	301	343
467	301	342
468	302	342
469	302	341
470	303	340
471	304	340
472	304	339
473	305	338
474	306	338
475	306	337
476	307	337
477	308	336
478	308	335
479	309	335
480	309	334
481	310	333
482	310	332
483	311	332
484	312	331
485	312	330
486	313	330
487	314	329
488	314	329
489	315	328
490	316	327
491	316	327
492	317	326
493	317	325
494	318	325
495	319	324
496	319	323
497	320	323
498	321	322
499	321	321
500	322	321
501	323	320
